iter	RMSE
0	0.8645373505
1	0.5698539123
2	0.4068780519
3	0.3092627903
4	0.2467337409
5	0.2056522424
6	0.1719792099
7	0.1452580898
8	0.1322273185
9	0.1199325367
10	0.1103159416
11	0.1024504924
12	0.09292420319
13	0.0913973049
14	0.08536991599
15	0.08130741096
16	0.07392380862
17	0.06701343828
18	0.06257451776
19	0.05647523892
20	0.0556520019
21	0.05012860658
22	0.0458456193
23	0.04352415038
24	0.04166228603
25	0.0403373278
26	0.03771964162
27	0.0350440525
28	0.03284556275
29	0.0297353762
30	0.02755790856
31	0.0257682088
32	0.02449777492
33	0.02336898326
34	0.02202982447
35	0.02117220943
36	0.02086115031
37	0.01969671227
38	0.01852497996
39	0.01835557818
40	0.01709843997
41	0.01683756502
42	0.0162140881
43	0.01610274164
44	0.01546092762
45	0.01534362092
46	0.01444788913
47	0.01378447376
48	0.01330993343
49	0.01318702666
