iter	Passed	Remaining
0	6	299
1	11	285
2	17	272
3	19	223
4	25	228
5	31	230
6	36	225
7	42	225
8	49	223
9	55	220
10	61	216
11	67	213
12	73	208
13	75	193
14	81	189
15	87	185
16	92	180
17	98	174
18	103	169
19	109	163
20	114	157
21	119	152
22	125	147
23	129	140
24	135	135
25	140	129
26	146	125
27	152	119
28	157	114
29	163	108
30	168	103
31	174	97
32	179	92
33	184	87
34	190	81
35	197	76
36	203	71
37	208	65
38	214	60
39	219	54
40	224	49
41	230	43
42	236	38
43	242	33
44	247	27
45	253	22
46	259	16
47	265	11
48	270	5
49	276	0
